,shot#,time,Ip,Bt,a,R,tria,elon,Wmcc,fname
187,42155.0,0.2164,0.331,0.82,22.0,36.8,0.32,1.8,7492.0,Profiles_export_2/shot42155_t216.txt
188,42163.0,0.19140000000000001,0.3,0.82,23.2,36.8,0.36,1.7,7952.0,Profiles_export_2/shot42163_t191.txt
189,42163.0,0.1945,0.3,0.82,23.2,36.8,0.36,1.7,8282.0,Profiles_export_2/shot42163_t194.txt
190,42163.0,0.1976,0.3,0.82,23.2,36.9,0.36,1.7,8154.0,Profiles_export_2/shot42163_t198.txt
191,42163.0,0.2007,0.3,0.82,23.2,36.9,0.36,1.7,8289.0,Profiles_export_2/shot42163_t201.txt
192,42163.0,0.2039,0.3,0.82,23.1,36.9,0.36,1.7,8277.0,Profiles_export_2/shot42163_t204.txt
193,42164.0,0.19140000000000001,0.3,0.82,23.3,36.7,0.38,1.7,8332.0,Profiles_export_2/shot42164_t191.txt
194,42164.0,0.1945,0.3,0.82,23.3,36.8,0.37,1.7,8193.0,Profiles_export_2/shot42164_t194.txt
195,42164.0,0.1976,0.3,0.82,23.2,36.9,0.37,1.7,8512.0,Profiles_export_2/shot42164_t198.txt
196,42164.0,0.2007,0.3,0.82,23.2,36.7,0.36,1.7,8576.0,Profiles_export_2/shot42164_t201.txt
197,42164.0,0.2039,0.3,0.82,23.1,36.8,0.36,1.7,8528.0,Profiles_export_2/shot42164_t204.txt
198,42165.0,0.19140000000000001,0.3,0.82,23.3,36.7,0.37,1.7,8081.0,Profiles_export_2/shot42165_t191.txt
199,42165.0,0.1945,0.3,0.82,23.2,36.8,0.37,1.7,8171.0,Profiles_export_2/shot42165_t194.txt
200,42165.0,0.1976,0.3,0.82,23.2,36.9,0.36,1.7,8165.0,Profiles_export_2/shot42165_t198.txt
201,42165.0,0.2007,0.3,0.82,23.1,36.9,0.36,1.7,8371.0,Profiles_export_2/shot42165_t201.txt
202,42165.0,0.2039,0.3,0.82,23.0,36.9,0.36,1.7,8334.0,Profiles_export_2/shot42165_t204.txt
203,42362.0,0.19140000000000001,0.346,0.9,22.9,36.7,0.35,1.7,12445.0,Profiles_export_2/shot42362_t191.txt
204,42362.0,0.1945,0.346,0.9,22.8,36.9,0.34,1.7,12478.0,Profiles_export_2/shot42362_t194.txt
205,42362.0,0.1976,0.346,0.9,23.0,36.9,0.36,1.7,13042.0,Profiles_export_2/shot42362_t198.txt
206,42362.0,0.2007,0.346,0.9,22.8,36.8,0.36,1.7,13006.0,Profiles_export_2/shot42362_t201.txt
207,42362.0,0.2039,0.346,0.9,22.8,36.9,0.36,1.7,13109.0,Profiles_export_2/shot42362_t204.txt
208,42362.0,0.2007,0.345,0.9,22.8,36.8,0.36,1.7,13006.0,Profiles_export_2/shot42362_t201.txt
209,42362.0,0.2039,0.345,0.9,22.8,36.9,0.36,1.7,13109.0,Profiles_export_2/shot42362_t204.txt
210,42362.0,0.207,0.345,0.9,22.7,36.9,0.34,1.7,13087.0,Profiles_export_2/shot42362_t207.txt
211,42387.0,0.2007,0.294,0.82,23.0,36.7,0.37,1.7,8247.0,Profiles_export_2/shot42387_t201.txt
212,42387.0,0.2039,0.294,0.82,22.9,36.8,0.36,1.7,8482.0,Profiles_export_2/shot42387_t204.txt
213,42387.0,0.207,0.294,0.82,22.8,36.7,0.36,1.7,8364.0,Profiles_export_2/shot42387_t207.txt
214,42393.0,0.2007,0.257,0.82,23.2,36.6,0.36,1.7,7538.0,Profiles_export_2/shot42393_t201.txt
215,42393.0,0.2039,0.257,0.82,23.0,36.9,0.36,1.7,7424.0,Profiles_export_2/shot42393_t204.txt
216,42393.0,0.207,0.257,0.82,22.9,37.0,0.36,1.7,7565.0,Profiles_export_2/shot42393_t207.txt
217,42394.0,0.19140000000000001,0.351,0.82,23.1,36.5,0.36,1.7,11843.0,Profiles_export_2/shot42394_t191.txt
218,42394.0,0.1945,0.351,0.82,23.0,36.5,0.36,1.7,11970.0,Profiles_export_2/shot42394_t194.txt
219,42394.0,0.1976,0.351,0.82,23.0,36.6,0.35,1.7,12095.0,Profiles_export_2/shot42394_t198.txt
220,42394.0,0.2007,0.351,0.82,23.0,36.5,0.35,1.7,12348.0,Profiles_export_2/shot42394_t201.txt
221,42394.0,0.2039,0.351,0.82,22.8,36.5,0.35,1.7,12224.0,Profiles_export_2/shot42394_t204.txt
222,42404.0,0.1851,0.3,0.91,23.7,36.5,0.38,1.7,9346.0,Profiles_export_2/shot42404_t185.txt
223,42404.0,0.18819999999999998,0.3,0.91,23.8,36.6,0.38,1.7,10041.0,Profiles_export_2/shot42404_t188.txt
224,42404.0,0.19140000000000001,0.3,0.91,23.7,36.4,0.39,1.7,9995.0,Profiles_export_2/shot42404_t191.txt
225,42404.0,0.1945,0.3,0.91,23.6,36.5,0.39,1.7,9963.0,Profiles_export_2/shot42404_t194.txt
226,42655.0,0.1851,0.216,0.64,23.3,35.9,0.29,1.6,2871.0,Profiles_export_2/shot42655_t185.txt
227,42655.0,0.18819999999999998,0.216,0.64,23.3,35.9,0.29,1.6,3133.0,Profiles_export_2/shot42655_t188.txt
228,42655.0,0.19140000000000001,0.216,0.64,23.2,35.7,0.3,1.6,2960.0,Profiles_export_2/shot42655_t191.txt
229,42655.0,0.1945,0.216,0.64,23.2,35.8,0.32,1.6,3017.0,Profiles_export_2/shot42655_t194.txt
230,42655.0,0.1976,0.216,0.64,23.2,35.8,0.35,1.7,2972.0,Profiles_export_2/shot42655_t198.txt
231,42655.0,0.2007,0.216,0.64,23.2,35.7,0.35,1.7,2992.0,Profiles_export_2/shot42655_t201.txt
232,42655.0,0.2039,0.216,0.64,23.1,35.8,0.37,1.7,2811.0,Profiles_export_2/shot42655_t204.txt
233,42655.0,0.207,0.216,0.64,23.0,35.8,0.37,1.7,2827.0,Profiles_export_2/shot42655_t207.txt
234,42703.0,0.182,0.354,0.9,23.2,36.1,0.37,1.8,10589.0,Profiles_export_2/shot42703_t182.txt
235,42703.0,0.1851,0.354,0.9,23.3,36.1,0.36,1.7,11476.0,Profiles_export_2/shot42703_t185.txt
236,42703.0,0.18819999999999998,0.354,0.9,23.1,36.1,0.36,1.7,11799.0,Profiles_export_2/shot42703_t188.txt
237,42703.0,0.19140000000000001,0.354,0.9,23.4,36.0,0.37,1.7,12208.0,Profiles_export_2/shot42703_t191.txt
238,42703.0,0.1945,0.354,0.9,23.2,36.1,0.36,1.7,12232.0,Profiles_export_2/shot42703_t194.txt
239,42703.0,0.1976,0.359,0.91,23.4,36.2,0.37,1.7,12412.0,Profiles_export_2/shot42703_t198.txt
240,42703.0,0.2007,0.359,0.91,23.3,36.1,0.37,1.7,12712.0,Profiles_export_2/shot42703_t201.txt
241,42703.0,0.2039,0.359,0.91,23.3,36.1,0.37,1.7,12813.0,Profiles_export_2/shot42703_t204.txt
242,42703.0,0.207,0.359,0.91,23.2,36.0,0.37,1.7,12919.0,Profiles_export_2/shot42703_t207.txt
243,42762.0,0.207,0.357,0.91,22.8,35.7,0.35,1.8,11780.0,Profiles_export_2/shot42762_t207.txt
244,42762.0,0.21009999999999998,0.357,0.91,22.9,35.6,0.35,1.7,12167.0,Profiles_export_2/shot42762_t210.txt
245,42762.0,0.2132,0.357,0.91,22.7,35.7,0.35,1.8,12344.0,Profiles_export_2/shot42762_t213.txt
246,42767.0,0.207,0.356,0.91,22.5,35.9,0.35,1.7,12141.0,Profiles_export_2/shot42767_t207.txt
247,42767.0,0.21009999999999998,0.356,0.91,22.4,35.9,0.32,1.7,11667.0,Profiles_export_2/shot42767_t210.txt
248,42767.0,0.2132,0.356,0.91,22.6,36.0,0.35,1.7,12311.0,Profiles_export_2/shot42767_t213.txt
249,42767.0,0.2164,0.356,0.91,22.3,35.9,0.33,1.7,12150.0,Profiles_export_2/shot42767_t216.txt
250,42767.0,0.2195,0.356,0.91,22.5,35.9,0.32,1.7,12526.0,Profiles_export_2/shot42767_t220.txt
251,42796.0,0.2164,0.399,0.91,21.7,36.0,0.3,1.8,12556.0,Profiles_export_2/shot42796_t216.txt
252,42796.0,0.2195,0.399,0.91,21.7,36.0,0.3,1.8,12647.0,Profiles_export_2/shot42796_t220.txt
253,42796.0,0.2226,0.399,0.91,21.6,36.1,0.29,1.8,12989.0,Profiles_export_2/shot42796_t223.txt
